specObjID,z,ra,dec,objID,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,tile_name,tile_ra,tile_dec,match_status,NUMBER,X_IMAGE,Y_IMAGE,ALPHA_J2000,DELTA_J2000,MAG_AUTO,MAGERR_AUTO,MAG_BEST,MAGERR_BEST,MAG_APER,MAGERR_APER,A_WORLD,ERRA_WORLD,B_WORLD,ERRB_WORLD,THETA_J2000,ERRTHETA_J2000,ISOAREA_IMAGE,MU_MAX,FLUX_RADIUS,FLAGS
2224860461474539520,0.02062585,179.11749,39.74191,1237664668443607076,15.37604,14.2794,13.74926,13.45421,13.2646,CFIS_LSB.276.259.r,178.8434466332429,39.5,Matched,33966.0,915.3378,9698.8193,179.1175623,39.7421463,13.6467,0.0003,13.6467,0.0003,16.3743,0.0004,0.004453646,1.695747e-06,0.001757097,5.401486e-07,28.41,26.42,87959.0,18.7929,64.208,50.0
2229353341400410112,0.02519956,167.91739,39.374889,1237662225672372339,16.48069,14.90429,14.10675,13.68654,13.38376,CFIS_LSB.259.259.r,167.8277270942388,39.5,Matched,8532.0,3656.9868,2576.3425,167.9173796,39.3748994,13.9967,0.0002,13.9967,0.0002,15.3483,0.0002,0.002787682,1.068376e-06,0.001127979,4.71051e-07,-14.01,-13.18,58550.0,17.0748,31.989,16.0
2233797567399880704,0.02031516,189.31542,39.483146,1237664294218104850,15.86712,14.47605,13.84555,13.51251,13.29319,CFIS_LSB.292.259.r,189.21118266995265,39.5,Matched,15038.0,3441.27,4674.5811,189.3153974,39.4831611,13.7131,0.0002,13.7131,0.0002,14.7665,0.0002,0.001941642,8.173565e-07,0.001671971,6.973734e-07,-23.85,-24.36,74105.0,16.3517,22.244,2.0
2238348446631225344,0.0256135,165.62336,38.71995,1237664668975890643,16.86766,15.80585,15.305,15.06264,14.94279,CFIS_LSB.259.257.r,165.47233614435916,38.5,Matched,32084.0,2718.5378,9263.2617,165.623228,38.7198963,15.2397,0.0005,15.2397,0.0005,16.8315,0.0004,0.002019735,1.712474e-06,0.001370738,1.162538e-06,47.84,47.03,35276.0,19.5324,30.853,0.0
2238418540497496064,0.02155508,165.85528,39.255077,1237664669512892506,16.33057,15.1394,14.56762,14.2685,14.057,CFIS_LSB.256.259.r,165.88377658735575,39.5,Matched,2.0,5427.3789,251.0648,165.8552961,39.2549418,14.4427,0.0004,14.4427,0.0004,16.4118,0.0005,0.003655025,2.110876e-06,0.0009994076,5.438641e-07,-84.02,-83.58,49762.0,19.2479,42.273,18.0
2242823733783848960,0.02376603,187.89365,37.980557,1237664673787019271,16.18884,15.11281,14.72582,14.54915,14.32679,CFIS_LSB.296.256.r,187.81469583074164,38.0,Matched,15366.0,3789.7649,4621.8677,187.8939261,37.9804609,14.5234,0.0003,14.5234,0.0003,16.1498,0.0003,0.001886302,9.777241e-07,0.00156024,8.494586e-07,29.53,58.25,39472.0,18.3178,34.01,2.0
2242855344743147520,0.02262225,186.73111,37.908974,1237664673786626053,15.5012,13.99282,13.29576,12.93011,12.72651,CFIS_LSB.294.256.r,186.54567761566904,38.0,Matched,11329.0,2165.3494,3238.2864,186.7310723,37.9089461,13.2312,0.0002,13.2312,0.0002,15.2446,0.0002,0.003634161,9.149722e-07,0.00236268,6.55207e-07,-49.71,-55.41,122145.0,17.3136,59.448,16.0
2242902623743141888,0.02375529,186.17688,38.377561,1237664674323300488,16.47656,15.22023,14.65567,14.35392,14.09693,CFIS_LSB.291.257.r,185.91679466412555,38.5,Matched,10397.0,1048.5011,2635.0151,186.1768997,38.3776741,14.5811,0.0004,14.5811,0.0004,16.8087,0.0005,0.002817314,1.519722e-06,0.001360084,7.348552e-07,5.64,6.01,43431.0,19.3899,45.922,18.0
2242959798347786240,0.02406614,188.45983,39.519757,1237664667909882043,16.29232,15.22955,14.73491,14.4439,14.26624,CFIS_LSB.291.259.r,188.5631991676583,39.5,Matched,19319.0,6544.3433,5383.6631,188.459892,39.5197522,14.629,0.0005,14.629,0.0005,16.863,0.0007,0.002714195,1.511047e-06,0.001612619,8.663989e-07,9.82,9.78,45898.0,19.2459,46.443,0.0
2244070310057895936,0.02429371,204.17517,34.746267,1237664671645368370,16.47988,14.7064,13.90328,13.46624,13.19178,CFIS_LSB.337.249.r,204.4589801007796,34.5,Matched,25679.0,9518.4014,9778.9219,204.175225,34.746273,13.7073,0.0003,13.7073,0.0003,15.0232,0.0002,0.004019088,1.699243e-06,0.0009221386,4.750707e-07,54.4,55.93,53752.0,16.6896,34.555,18.0
2246226721416177664,0.02261722,182.7067,39.472813,1237664667907981318,15.56476,13.96886,13.20249,12.82479,12.51625,CFIS_LSB.282.259.r,182.73134764700907,39.5,Matched,20799.0,5371.0063,4473.1753,182.7065463,39.472812,12.8104,0.0002,12.8104,0.0002,14.9864,0.0002,0.003897636,9.098206e-07,0.003136338,6.347861e-07,55.38,45.35,161401.0,16.6789,71.72,48.0
