tile,ra,dec,good_fraction
CFIS_LSB.190.271.r,135.5382284679843,45.5,0.76979731
CFIS_LSB.077.327.r,135.55605610019097,73.5,0.61860076
CFIS_LSB.095.319.r,135.63392019086947,69.5,0.8379082
CFIS_LSB.192.270.r,135.7645019878171,45.0,0.71656399
CFIS_LSB.228.246.r,135.929415383298,33.0,0.65573391
CFIS_LSB.093.320.r,135.9569046075835,70.0,0.72183315
CFIS_LSB.194.269.r,135.99711029278546,44.5,0.76361253
CFIS_LSB.075.328.r,136.04832294537377,74.0,0.81141692
CFIS_LSB.227.247.r,136.1097610685336,33.5,0.78809653
CFIS_LSB.191.271.r,136.25158756518425,45.5,0.79126373
CFIS_LSB.052.338.r,136.261919668364,79.0,0.0
CFIS_LSB.059.335.r,136.29667630268628,77.5,0.00764018
CFIS_LSB.230.245.r,136.3542404549285,32.5,0.81403677
CFIS_LSB.193.270.r,136.47160876900367,45.0,0.73543223
CFIS_LSB.229.246.r,136.52559702971598,33.0,0.80280539
CFIS_LSB.073.329.r,136.5821800582694,74.5,0.63092141
CFIS_LSB.195.269.r,136.6981263252225,44.5,0.74852408
CFIS_LSB.228.247.r,136.70936354020117,33.5,0.68463422
CFIS_LSB.224.250.r,136.72675394128308,35.0,0.68943743
CFIS_LSB.098.318.r,136.73097737164142,69.0,0.71870666
CFIS_LSB.080.326.r,136.81214479333073,73.0,0.68395524
CFIS_LSB.231.245.r,136.94708497864556,32.5,0.68281235
CFIS_LSB.223.251.r,136.95845059570414,35.5,0.65102871
CFIS_LSB.192.271.r,136.96494666238416,45.5,0.74909275
CFIS_LSB.096.319.r,137.06164566656284,69.5,0.76277861
CFIS_LSB.210.260.r,137.06776537988927,40.0,0.76360262
CFIS_LSB.057.336.r,137.07742882520765,78.0,0.0
CFIS_LSB.226.249.r,137.11492434058212,34.5,0.79904002
CFIS_LSB.230.246.r,137.12177867613394,33.0,0.73398078
CFIS_LSB.194.270.r,137.17871555019022,45.0,0.72183465
CFIS_LSB.050.339.r,137.18510664967602,79.5,0.0
CFIS_LSB.229.247.r,137.3089660118687,33.5,0.73124051
CFIS_LSB.078.327.r,137.3165243612324,73.5,0.71124294
CFIS_LSB.225.250.r,137.3371412356638,35.0,0.68895534
CFIS_LSB.212.259.r,137.372502486404,39.5,0.79832413
CFIS_LSB.196.269.r,137.39914235765954,44.5,0.76447704
CFIS_LSB.094.320.r,137.41880680766508,70.0,0.71174945
CFIS_LSB.209.261.r,137.426591488587,40.5,0.84040782
CFIS_LSB.232.245.r,137.53992950236264,32.5,0.7918301
CFIS_LSB.224.251.r,137.57261405129023,35.5,0.68290504
CFIS_LSB.193.271.r,137.67830575958408,45.5,0.78196715
CFIS_LSB.231.246.r,137.71796032255193,33.0,0.69121603
CFIS_LSB.211.260.r,137.7204690245554,40.0,0.76859232
CFIS_LSB.227.249.r,137.72162754562896,34.5,0.6575494
CFIS_LSB.076.328.r,137.86230058464542,74.0,0.72240414
CFIS_LSB.195.270.r,137.88582233137674,45.0,0.70823162
CFIS_LSB.230.247.r,137.90856848353627,33.5,0.65585312
CFIS_LSB.166.286.r,137.9161317131661,53.0,0.78004608
CFIS_LSB.205.264.r,137.92735478465357,42.0,0.7302911
CFIS_LSB.055.337.r,137.93592274700248,78.5,0.01848526
CFIS_LSB.226.250.r,137.94752853004454,35.0,0.7025674
CFIS_LSB.213.259.r,138.02048598869834,39.5,0.77037289
CFIS_LSB.210.261.r,138.0841349885324,40.5,0.68434404
CFIS_LSB.197.269.r,138.10015839009657,44.5,0.74854718
CFIS_LSB.233.245.r,138.13277402607972,32.5,0.77306847
CFIS_LSB.225.251.r,138.18677750687635,35.5,0.56832702
CFIS_LSB.207.263.r,138.19241528853786,41.5,0.72373769
CFIS_LSB.185.276.r,138.2390808624763,48.0,0.71166775
CFIS_LSB.232.246.r,138.3141419689699,33.0,0.79216486
CFIS_LSB.228.249.r,138.32833075067578,34.5,0.74894476
CFIS_LSB.204.265.r,138.3468539007442,42.5,0.72531412
CFIS_LSB.212.260.r,138.37317266922153,40.0,0.79040058
CFIS_LSB.194.271.r,138.391664856784,45.5,0.75629249
CFIS_LSB.074.329.r,138.45316882619088,74.5,0.78827034
CFIS_LSB.097.319.r,138.4893711422562,69.5,0.67690611
CFIS_LSB.227.250.r,138.5579158244253,35.0,0.72172124
CFIS_LSB.196.270.r,138.5929291125633,45.0,0.81061623
CFIS_LSB.206.264.r,138.60017114945674,42.0,0.69378655
CFIS_LSB.060.335.r,138.60678946035895,77.5,0.02094998
CFIS_LSB.214.259.r,138.6684694909927,39.5,0.77136942
CFIS_LSB.165.287.r,138.6967712696053,53.5,0.67555946
CFIS_LSB.211.261.r,138.7416784884778,40.5,0.7859981
CFIS_LSB.167.286.r,138.74695178372733,53.0,0.79320859
CFIS_LSB.226.251.r,138.80094096246248,35.5,0.70645814
CFIS_LSB.198.269.r,138.80117442253362,44.5,0.72704884
CFIS_LSB.169.285.r,138.80642887903713,52.5,0.65083554
CFIS_LSB.184.277.r,138.84276554525016,48.5,0.73917351
CFIS_LSB.208.263.r,138.86001149766122,41.5,0.7358351
CFIS_LSB.053.338.r,138.8823412004479,79.0,0.14029985
CFIS_LSB.229.249.r,138.9350339557226,34.5,0.56503638
CFIS_LSB.186.276.r,138.9863191374086,48.0,0.71457714
CFIS_LSB.205.265.r,139.02502475319884,42.5,0.65522836
CFIS_LSB.213.260.r,139.02587631388766,40.0,0.83657236
CFIS_LSB.079.327.r,139.07699262227385,73.5,0.73136693
CFIS_LSB.195.271.r,139.1050239539839,45.5,0.76230323
CFIS_LSB.188.275.r,139.13759989469253,47.5,0.6955748
CFIS_LSB.228.250.r,139.168303118806,35.0,0.75613397
CFIS_LSB.065.333.r,139.21887101626348,76.5,0.72289799
CFIS_LSB.207.264.r,139.27298751425994,42.0,0.70949232
CFIS_LSB.197.270.r,139.30003589374985,45.0,0.7515017
CFIS_LSB.215.259.r,139.31645299328704,39.5,0.83252427
CFIS_LSB.212.261.r,139.3992219884232,40.5,0.75712041
CFIS_LSB.183.278.r,139.469157433582,49.0,0.6964322
CFIS_LSB.058.336.r,139.4822959975797,78.0,0.21914091
CFIS_LSB.209.263.r,139.5276077067846,41.5,0.67654381
CFIS_LSB.166.287.r,139.53735776214836,53.5,0.66409411
CFIS_LSB.168.286.r,139.57777185428856,53.0,0.77278708
CFIS_LSB.185.277.r,139.5973457927787,48.5,0.68490126
CFIS_LSB.170.285.r,139.62776869488945,52.5,0.69483098
CFIS_LSB.077.328.r,139.67627822391705,74.0,0.65998305
CFIS_LSB.214.260.r,139.67857995855385,40.0,0.77796218
CFIS_LSB.206.265.r,139.70319560565346,42.5,0.68982311
CFIS_LSB.187.276.r,139.7335574123409,48.0,0.69009784
CFIS_LSB.189.275.r,139.87769351115367,47.5,0.81026392
CFIS_LSB.051.339.r,139.9288087826695,79.5,0.24115438
CFIS_LSB.208.264.r,139.9458038790631,42.0,0.74892253
CFIS_LSB.216.259.r,139.96443649558142,39.5,0.71338804
CFIS_LSB.063.334.r,140.0304617014528,77.0,0.62862612
CFIS_LSB.213.261.r,140.05676548836857,40.5,0.74857033
CFIS_LSB.182.279.r,140.11898293323534,49.5,0.71179279
CFIS_LSB.231.249.r,140.14844036581624,34.5,0.41567613
CFIS_LSB.210.263.r,140.19520391590797,41.5,0.77302208
