specObjID,z,ra,dec,objID,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,tile_name,tile_ra,tile_dec
581000669654181888,0.01967798,180.52255,1.5258814,1237651735220322415,17.21564,15.62386,14.88213,14.50837,14.29155,No tile found,,
582127669190092800,0.02008497,181.90866,1.5742042,1237651735220912226,17.0448,15.30028,14.49696,14.10237,13.81897,No tile found,,
582143337230788608,0.01997308,181.32493,2.2895576,1237651736294391955,17.26875,15.5078,14.73704,14.3489,14.07825,No tile found,,
582150209178462208,0.01950274,181.6316,1.61663,1237651735220781230,16.98558,15.92278,15.51351,15.32621,15.2998,No tile found,,
582155431858694144,0.02129339,181.1207,1.8941245,1237651735757455412,33.00152,14.95442,13.67407,13.18662,13.47572,No tile found,,
582160379661019136,0.01938336,181.4197,1.5750691,1237651735220715578,16.81604,14.98551,14.17899,13.76801,13.47913,No tile found,,
582160654538926080,0.02050534,181.41941,1.5934884,1237651735220715559,16.95363,15.28275,14.50926,14.1369,13.88308,No tile found,,
582164502829623296,0.0244364,180.97595,1.8912959,1237651735757389988,17.44715,15.55802,14.89859,14.54853,14.33951,No tile found,,
583357752152188928,0.01930236,183.99059,3.3058784,1237651737369313385,16.20168,14.49917,13.70856,13.31822,13.03526,No tile found,,
584369852622333952,0.02391133,186.14609,1.8923439,1237651735759683629,16.97834,15.55021,14.71654,14.20682,13.82697,No tile found,,
584378648715356160,0.02785617,185.82534,1.4868693,1237651735222616171,16.78643,15.7465,15.30316,15.06338,14.96601,No tile found,,
584456164285114368,0.02308409,185.67641,3.1418169,1237651737370034349,16.58798,14.84157,13.9831,13.58886,13.3041,No tile found,,
584493272802551808,0.02597225,186.23548,2.7791323,1237651736833425436,17.34085,15.65933,14.88604,14.50249,14.24672,No tile found,,
587890209631266816,0.02360855,192.39763,3.6043212,1237671264961429657,16.73038,15.6319,15.1772,14.91706,14.7697,No tile found,,
591180223383365632,0.01940969,196.82883,2.003485,1237651735764336801,16.69419,15.33341,14.89125,14.71378,14.80024,No tile found,,
591180227846105088,0.01940175,196.82883,2.003485,1237651735764336801,16.69419,15.33341,14.89125,14.71378,14.80024,No tile found,,
591263790729816064,0.02015055,198.8863,3.5007681,1237651737912672329,17.41789,15.68875,14.98943,14.75443,14.61803,No tile found,,
591264885778704384,0.02017137,198.8863,3.5007681,1237651737912672329,17.41789,15.68875,14.98943,14.75443,14.61803,No tile found,,
591265985290332160,0.02011351,199.14932,3.0643863,1237651737375932577,16.62378,15.25238,14.7704,14.51566,14.35785,No tile found,,
591266539508885504,0.02012058,199.14932,3.0643863,1237651737375932577,16.62378,15.25238,14.7704,14.51566,14.35785,No tile found,,
592259398793979904,0.02023552,200.23394,1.5036724,1237651735228973059,15.97113,14.77394,14.20501,13.9123,13.70396,No tile found,,
592294033410254848,0.02377723,199.68955,1.3862415,1237651735228710989,17.55129,15.9325,15.17795,14.83818,14.55098,No tile found,,
593465838430873600,0.02235525,201.66158,2.3137322,1237651736303304768,16.73469,15.18329,14.67243,14.44223,14.58732,No tile found,,
594502947405064192,0.02336924,204.7691,2.16379,1237651736304681016,17.43961,15.81936,15.1713,14.81483,14.59884,No tile found,,
594570292492265472,0.02229352,203.10459,3.0612426,1237651737377701910,17.22527,15.98412,15.31554,14.99091,14.73238,No tile found,,
594592832480634880,0.02177095,203.95103,2.9989274,1237671956444413993,15.242,13.79332,13.03222,12.62166,12.38219,No tile found,,
594597780282959872,0.02360926,204.03302,3.5095377,1237671956981088440,16.56846,15.52367,15.08667,14.8715,14.83694,No tile found,,
594618945881794560,0.02362859,204.20876,3.5252662,1237671991340433429,16.76872,15.49011,14.93156,14.64445,14.4579,No tile found,,
594619220759701504,0.02339575,204.23894,3.49315,1237671991340433626,17.05812,15.55512,14.95992,14.60102,14.32972,No tile found,,
594633239532955648,0.02291727,204.42549,3.472557,1237671991340499075,16.91158,15.41818,14.86652,14.60975,14.48391,No tile found,,
594645883916675072,0.02321923,205.24577,3.0695097,1237651737378619451,16.41346,15.51174,15.15631,15.00159,14.82638,No tile found,,
595626373461075968,0.0225358,205.83098,1.3223391,1237671991878484060,17.52677,15.73289,15.01134,14.64851,14.37465,No tile found,,
596756396553299968,0.02522031,207.97793,1.8442785,1237651735769186539,16.54261,15.35161,14.92311,14.7437,14.6728,No tile found,,
596829239198640128,0.02350052,206.92971,3.4114905,1237674602676289621,15.66396,13.89935,13.09219,12.68088,12.4514,No tile found,,
596839684559104000,0.02336189,206.99045,3.4496184,1237674602676289706,16.90345,15.20754,14.43062,14.02963,13.79884,No tile found,,
596852603820730368,0.02449322,207.58632,3.0149522,1237674602676617437,17.168,15.90662,15.40354,15.13153,14.98989,No tile found,,
598979608511014912,0.02491419,212.82386,1.2752477,1237651735234478093,16.98287,15.3286,14.57952,14.18712,13.92796,No tile found,,
598980158266828800,0.02493512,212.85929,1.2864937,1237651735234478128,16.32788,14.32524,13.51138,13.077,12.78784,No tile found,,
600134920370677760,0.02505643,214.24317,1.640423,1237651735771938901,16.56842,15.46292,15.02847,14.82014,14.70577,No tile found,,
600166531329976320,0.02579744,213.4779,1.731023,1237651735771611332,17.39908,15.57671,14.68457,14.23399,13.9176,No tile found,,
600172578643929088,0.02517159,213.08407,1.2725343,1237651735234543739,16.97493,14.8771,14.02483,13.68034,13.47949,No tile found,,
600256416405547008,0.02606165,214.23948,2.1776625,1237651736308809804,17.56621,15.74364,14.91098,14.51888,14.22667,No tile found,,
1968087657900697600,0.02634573,159.74211,12.489247,1237661068178686022,17.4166,15.66019,14.83659,14.4254,14.15644,No tile found,,
1989468216694433792,0.02437512,187.0283,13.911754,1237661068190351526,16.6218,15.07338,14.51212,14.15488,13.99656,No tile found,,
1990669983004256256,0.02391634,187.05222,13.899228,1237661068190351419,16.58345,14.89327,14.04844,13.61642,13.34817,No tile found,,
1991743657115412480,0.02042839,190.35606,13.729539,1237662524157526119,15.84911,14.6702,14.04775,13.72574,13.47195,No tile found,,
8147231464175720448,0.02052532,35.413531,-3.7331635,1237679323935277145,16.76563,15.71545,15.34303,15.16266,15.03737,CFIS_LSB.071.173.r,35.566338390494366,-3.5
931245980462901248,0.0215486,126.82641,37.781262,1237657118946623771,16.57187,15.18644,14.39038,13.98569,13.63696,CFIS_LSB.200.256.r,126.90182150725788,38.0
931294908730337280,0.0228287,128.79316,37.265958,1237657630584799400,16.28943,14.89125,14.31346,14.01708,13.57628,CFIS_LSB.204.255.r,128.56818622904697,37.5
932338070471075840,0.02495264,128.8997,39.813555,1237657769627811999,16.54609,15.21436,14.52967,14.14961,13.91156,CFIS_LSB.197.260.r,128.58261799922946,40.0
932346866564098048,0.02365401,129.36079,40.035587,1237657606426263594,16.22664,14.41951,13.6089,13.19174,12.94902,CFIS_LSB.198.260.r,129.2353216438956,40.0
932369956308281344,0.02471823,129.75285,40.346106,1237657606426460207,16.51722,14.41755,13.53216,13.16829,12.87851,CFIS_LSB.197.261.r,129.5360694892423,40.5
933374084950026240,0.02398412,132.39134,39.746879,1237657776615915726,16.88703,15.78754,15.40688,15.20493,15.10752,CFIS_LSB.204.259.r,132.18863446804912,39.5
933386454455838720,0.0272926,131.996,39.538103,1237657776615719014,17.29281,15.53277,14.64367,14.23604,13.90557,CFIS_LSB.204.259.r,132.18863446804912,39.5
933390852502349824,0.02424003,132.76338,40.319269,1237657117338304647,16.95678,15.82498,15.34004,15.07662,14.91095,CFIS_LSB.202.261.r,132.82378698896926,40.5
933399923473278976,0.02364862,132.54706,40.255716,1237657400806015020,16.43076,14.56842,13.83484,13.46233,13.27079,CFIS_LSB.202.261.r,132.82378698896926,40.5
