targetid,z,zerr,spectype,ra,dec,flux_g,flux_r,flux_z
39633227559732047,0.02023171124855685,1.040823115300247e-05,GALAXY,110.4984271941664,48.62634647589679,15.786335,23.946072,32.561382
39633194894494140,0.02633115281345529,3.151928871949866e-06,GALAXY,107.1203140274451,46.65617600632089,14.59487,19.734283,18.197077
39633165307874088,0.02007891991952458,3.978053210608017e-06,GALAXY,105.1762888072721,45.05027990239039,15.329127,22.574091,29.43979
39633148018952027,0.01924352053672455,9.308572408430323e-06,GALAXY,106.0473537075417,43.91293575714665,14.445561,22.551828,25.01478
39633211466189986,0.02140846145599641,7.597492701823445e-06,GALAXY,116.2177799321202,47.65089665032135,13.314761,21.630713,29.249079
39633134911752326,0.02555597309057665,6.896744776882571e-05,GALAXY,111.3751994396295,43.26924898642057,15.264081,29.196533,38.522617
39633130490955390,0.0247003450552928,9.037817499665512e-07,GALAXY,111.6005158883353,43.03213122718648,15.065233,18.630848,18.49427
39633365158070656,0.02227564303012563,5.193711091870037e-05,GALAXY,168.4939011005605,58.16707398755744,13.478548,18.197977,21.415916
39633401791122145,0.01842827808888731,2.117092625589219e-06,GALAXY,159.6979794663088,61.27860289276867,14.867422,16.918564,15.800821
39633395902318247,0.02386225092238117,5.129084947490327e-06,GALAXY,159.8929959061314,60.81584174193701,13.013497,23.926,36.3431
39633395898122938,0.0228587449897182,1.364689627353154e-05,GALAXY,159.2438049815337,60.74028367801765,15.854856,24.326925,29.099455
39633398829940953,0.02793545445937276,3.781286927314714e-06,GALAXY,155.9285175108369,60.88778232402073,13.928949,22.851269,30.933676
39633377648707500,0.02082532178443534,1.115267740837902e-05,GALAXY,155.9547714409029,59.34053252847347,13.3209,18.623047,22.115477
39633374607838420,0.02175360813567481,2.185472668328052e-06,GALAXY,165.0383701168118,58.889165890421,13.813091,16.71117,18.456669
39633374557503893,0.02730126506307748,2.520669583407688e-05,GALAXY,158.8273194289689,58.88720818484816,15.908051,25.972637,34.30392
39633361848764007,0.02418724838312453,1.898495856006014e-05,GALAXY,156.7404864385688,58.08283426952428,14.240795,19.856022,19.66508
39633345696499717,0.02146185026929561,2.153710772441931e-06,GALAXY,179.8035588780062,56.84940621575089,15.041981,17.933292,17.897394
39633345696499717,0.02145840832895113,3.198603107669281e-06,GALAXY,179.8035588780062,56.84940621575089,15.041981,17.933292,17.897394
39633348989027739,0.02137587186277288,6.838063743039891e-06,GALAXY,177.0066193797563,57.03897551710488,14.203921,20.399656,23.642296
39633348989027739,0.02136565744735455,9.367900681356978e-06,GALAXY,177.0066193797563,57.03897551710488,14.203921,20.399656,23.642296
39633338973031621,0.01820403635327992,1.92488806044007e-06,GALAXY,177.2719199830758,56.2397491023523,15.259259,19.66064,21.113153
39633332178256534,0.02034638978290992,1.196164323360435e-05,GALAXY,175.6535763714938,55.74443992329626,15.930129,28.82313,30.851366
39633325249267684,0.0243633521770555,1.52228537017121e-06,GALAXY,170.1690395094883,55.24825593630342,13.511993,18.787436,22.565493
39633325316376145,0.01986993003553399,7.102657455705583e-06,GALAXY,177.1297058648526,55.15024025450148,15.176051,21.857891,25.821867
39633321835103376,0.02669905674358754,4.695337604598302e-06,GALAXY,175.8221172087991,55.02923937834618,14.327909,20.411777,23.828436
39633321835103376,0.02669194814291777,3.308058983226901e-06,GALAXY,175.8221172087991,55.02923937834618,14.327909,20.411777,23.828436
39633314830616741,0.02764045860885914,2.23274811680531e-06,GALAXY,175.5410960302574,54.51487992373453,13.047466,22.230013,30.075169
39633314830616741,0.02763697322272143,2.107108451428685e-06,GALAXY,175.5410960302574,54.51487992373453,13.047466,22.230013,30.075169
39633304172890413,0.02272449088216571,3.012345122980845e-06,GALAXY,176.0702939716633,53.73243369460931,14.093293,19.309668,22.154825
39633304172890413,0.02273516312979371,3.403535112920586e-06,GALAXY,176.0702939716633,53.73243369460931,14.093293,19.309668,22.154825
39633325287017631,0.01912864114286514,3.504329947490139e-06,GALAXY,174.2532514136345,55.15697036855312,14.009738,16.668253,7.3690987
