targetid,z,zerr,spectype,ra,dec,flux_g,flux_r,flux_z,tile_name,tile_ra,tile_dec
39627959149009551,0.027909756,7.945145990676306e-06,GALAXY,335.8216849849257,6.976077754376207,13.955774,19.709812,25.630049,No tile found,,
39627971148906808,0.025956071,3.451316802001078e-06,GALAXY,335.8460734757277,7.569801732045248,14.06111,21.738375,28.411476,No tile found,,
39628018968171006,0.025446823,9.715177128701364e-06,GALAXY,336.1541519317641,9.445729098900555,15.753259,20.937841,24.65226,No tile found,,
39627977150959154,0.025513069,2.497779121170445e-06,GALAXY,336.7720992,7.659390452079108,13.338197,17.733261,21.386005,No tile found,,
39627983153007062,0.024629309,3.437414354594217e-06,GALAXY,337.4520257810415,8.052489458054447,13.840843,23.597038,34.066376,No tile found,,
39627989138277193,0.025024753,3.378816166472537e-06,GALAXY,337.5679973334597,8.244968489004417,14.442209,20.312136,24.536789,No tile found,,
39628090179063909,0.026293884,1.527823555780785e-06,GALAXY,337.4341729919792,12.39702024971031,14.184804,18.972452,23.613415,No tile found,,
39628072470711482,0.025754752,1.707426426861972e-05,GALAXY,338.4963429341288,11.72636544037036,13.047212,19.4082,24.803612,No tile found,,
39628072474904706,0.025189944,2.210760502511508e-06,GALAXY,338.6950426988258,11.74022181077979,13.858005,16.369282,18.725374,No tile found,,
39627971216017643,0.025829335,1.632384387076953e-06,GALAXY,339.9801289637111,7.494795160697573,13.112229,17.91616,21.099026,No tile found,,
39627977226457038,0.025212459,1.61233776543758e-05,GALAXY,341.2922478452241,7.715855252252696,14.538105,24.410852,36.9482,No tile found,,
39628001146572089,0.02430932,5.615754541572335e-06,GALAXY,340.9429229349161,8.822254749925303,13.106081,18.858942,23.793411,No tile found,,
39627995178077441,0.024853758,7.287402166361973e-06,GALAXY,341.2330417696539,8.571697277294767,14.314862,22.375969,29.973408,No tile found,,
39636785352933720,0.022480304,8.286763148056601e-06,GALAXY,344.8652137528247,8.185194838067577,14.71431,21.679678,27.379337,No tile found,,
39628007161201229,0.023472228,2.441838911337641e-06,GALAXY,343.3388326221668,9.070582154243963,13.5795145,20.773592,26.669624,No tile found,,
39628001201099130,0.021917744,9.728599423022748e-06,GALAXY,344.2842937698193,8.754373408265394,14.608605,21.40744,26.852743,No tile found,,
39628019114972758,0.022648994,5.550524757695309e-06,GALAXY,345.0304953930733,9.403658209712978,14.131746,19.942646,24.400703,No tile found,,
39628102002803931,0.0224851,3.265489473578195e-06,GALAXY,339.5424607207092,12.87992212914006,15.298542,21.404047,25.017075,No tile found,,
39628090229392274,0.025198635,4.386402680357224e-06,GALAXY,340.3549019369088,12.53322148339242,15.883071,24.918047,32.8431,No tile found,,
39628078451790445,0.023538206,9.001361294757657e-05,GALAXY,342.6321926546612,12.06944731790886,14.87694,31.462988,53.7747,No tile found,,
39628084357367050,0.026623571,8.346608889739643e-06,GALAXY,342.4172862021622,12.21192646119863,15.28239,21.580112,27.159376,No tile found,,
39628084357369274,0.026747875,1.717281143968367e-05,GALAXY,342.5191797,12.20219971004383,14.056144,25.07169,36.776,No tile found,,
39628107971301183,0.026313986,3.899397664823921e-05,GALAXY,344.5301004598089,13.31938480497845,13.118364,26.297142,42.130318,No tile found,,
39627905239615870,0.021986454,1.211356729813918e-06,GALAXY,347.5649413,4.720281309208897,14.846356,17.082697,18.24106,No tile found,,
39636683339074536,0.019236654,1.470310229161182e-06,GALAXY,352.6460784037844,3.890856131554103,15.299438,21.47354,21.516758,No tile found,,
39627947375595523,0.026405337,1.941087387386408e-05,GALAXY,349.6414525036327,6.551941655469485,15.1345625,24.895128,33.93141,No tile found,,
39627802776969188,0.022199761,4.254379704573796e-06,GALAXY,355.9796154238049,0.5287034053344922,14.50633,24.467197,34.113583,No tile found,,
39627820892160864,0.021290286,1.980631282924295e-06,GALAXY,355.5247076263302,1.157997413141044,15.618612,21.125603,25.101578,No tile found,,
39627839011557759,0.021857335,9.324458339097996e-07,GALAXY,355.6704497229134,1.969474359086623,15.5583935,17.427431,12.4375515,No tile found,,
39627814881727124,0.027137023,7.479887540875857e-06,GALAXY,357.3855042382824,1.003400451779945,13.890963,22.58105,30.390013,No tile found,,
39627917419873824,0.024449281,7.190183889685165e-06,GALAXY,355.5733983528158,5.136861480122943,15.201035,21.14117,23.503654,No tile found,,
39627965381739806,0.025489183,5.458298646183402e-06,GALAXY,349.7567893556999,7.348789248868412,13.8918915,22.505478,31.633844,No tile found,,
39628001289175548,0.027016079,7.705271382650135e-06,GALAXY,349.4063163667732,8.746487727672266,13.785317,21.585993,29.033562,No tile found,,
39628013230360318,0.026639199,2.327173047618039e-06,GALAXY,349.6996566523688,9.227960527,14.227327,16.79644,10.35709,No tile found,,
39628013230360436,0.02681848,6.266366486913782e-06,GALAXY,349.7047380295612,9.275255472506627,15.8419895,28.555141,41.741074,No tile found,,
