# PGC,Common,RAdeg,DEdeg,GLON,GLAT,SGL,SGB,T,Bmag,Ksmag,logK,Vh,VLS,D,e_D,PGC1,Primary,tile,dec,ra,GroupID,GroupSize,Separation,ra_diff,dec_diff,NUMBER,X_IMAGE,Y_IMAGE,ALPHA_J2000,DELTA_J2000,MAG_AUTO,MAGERR_AUTO,MAG_BEST,MAGERR_BEST,MAG_APER,MAGERR_APER,A_WORLD,ERRA_WORLD,B_WORLD,ERRB_WORLD,THETA_J2000,ERRTHETA_J2000,ISOAREA_IMAGE,MU_MAX,FLUX_RADIUS,FLAGS,separation_arcsec
2213744,PGC2213744,157.012,43.1323,174.5318,56.9521,63.4398,-13.6004,,17.42,14.65,8.39,2183,2207,,,2213744,0,CFIS_LSB.230.266.r,43.0,157.24265802633843,,,771.2699979639154,0.2306580263384319,0.1323013305664062,30029,8261.7461,7567.3848,157.0120219,43.1322512,16.7057,0.0019,16.7057,0.0019,18.1732,0.0015,0.001688006,2.252393E-6,6.453484E-4,9.682196E-7,-65.55,-64.82,9442,21.1614,27.324,2,0.1848616028158425
4019871,SDSSJ124459.26+525203.5,191.247,52.8676,125.1713,64.2326,64.3531,10.9781,10.0,19.65,16.09,8.03,2712,2824,,,4019871,0,CFIS_LSB.230.286.r,53.0,191.0886162290856,,,587.618895581905,0.1583837709144688,0.1324005126953125,3831,3150.5889,2436.0918,191.2467083,52.8675916,17.4544,0.0061,17.4544,0.0061,18.9648,0.0053,9.596368E-4,5.542641E-6,8.767096E-4,4.851412E-6,29.91,26.85,4931,21.8732,29.179,2,0.6346352291880846
51036,IC0996,214.3419,57.63,102.4362,55.9463,59.7816,24.1992,4.0,13.49,11.32,10.06,3068,3238,,,51036,0,CFIS_LSB.230.295.r,57.5,214.03328462091145,447.0,2.0,757.6967023207934,0.3086153790885646,0.1300010681152343,26046,1795.8396,7520.3311,214.3421101,57.6296784,14.0361,2.0E-4,14.3159,3.0E-4,16.2725,3.0E-4,0.004343813,1.538272E-6,8.273305E-4,3.773652E-7,-28.07,-28.24,35527,19.1184,56.768,19,1.2265353335554172
53043,NGC5777,222.8244,58.9781,98.2108,52.0106,57.1991,28.2344,3.2,13.0,9.3,10.59,2151,2340,42.85,14.0,53043,0,CFIS_LSB.230.298.r,59.0,223.2844630371909,399.0,2.0,856.9240468325077,0.4600630371909062,0.0219001770019531,19437,9590.2363,4590.6055,222.824853,58.9780601,12.7701,1.0E-4,12.7701,1.0E-4,14.6734,1.0E-4,0.008515844,1.250872E-6,0.001643815,3.081328E-7,-36.98,-37.55,200820,17.1914,48.479,50,0.8526449902466816
59146,IC1235,253.0147,63.1159,93.3591,37.3714,43.5058,37.9976,3.8,14.75,12.39,9.66,3128,3376,,,59146,0,CFIS_LSB.230.306.r,63.0,253.3092654273057,834.0,2.0,636.3453046651933,0.2945654273056561,0.1158981323242187,26739,7576.895,7255.2896,253.0151957,63.1160737,14.356,2.0E-4,14.356,2.0E-4,16.0494,2.0E-4,0.001947604,9.309738E-7,0.001535325,7.280607E-7,18.74,32.16,42237,18.7467,33.462,2,1.0208666556503128
3138199,PGC3138199,253.1733,63.0264,93.2283,37.3227,43.5054,38.1123,5.0,17.55,13.95,9.01,3009,3257,,,3138199,0,CFIS_LSB.230.306.r,63.0,253.3092654273057,834.0,2.0,241.59773528916648,0.1359654273056492,0.0264015197753906,19616,6194.043,5508.9219,253.1734239,63.0261965,17.2288,0.0019,17.2288,0.0019,18.3081,0.0015,0.001185011,2.354364E-6,5.849138E-4,1.329838E-6,-30.89,-29.48,6436,20.817,20.812,2,0.7600225761272563
3528133,SDSSJ090706.25+322219.5,136.7762,32.3721,192.4626,41.5723,59.5096,-32.4621,8.0,17.19,14.85,8.09,1744,1706,,,3528133,0,CFIS_LSB.231.245.r,32.5,136.94708497864556,,,693.9612033078192,0.1708849786455744,0.127899169921875,7037,7798.9292,2518.2119,136.7760784,32.3718187,17.1861,0.0024,17.1861,0.0024,18.9681,0.0022,0.001822191,4.672247E-6,9.065632E-4,2.391486E-6,81.65,78.85,12121,21.9085,33.075,2,1.0780627937333704
3528482,SDSSJ091001.73+325659.7,137.5071,32.9499,191.8211,42.2686,59.6504,-31.6263,10.0,17.09,14.51,8.05,1439,1404,,,3528482,0,CFIS_LSB.231.246.r,33.0,137.71796032255193,451.0,3.0,661.8598439973916,0.2108603225519232,0.0500984191894531,15160,8427.2305,4032.9407,137.5072073,32.9499206,16.3893,0.0023,16.3893,0.0023,18.5368,0.0018,0.001776338,3.694601E-6,0.001101094,2.314129E-6,-55.34,-55.8,12412,21.4815,44.086,2,0.332520659560529
26014,PGC026014,138.4204,33.325,191.4602,43.078,60.0652,-30.8519,4.5,15.28,13.16,9.36,3423,3390,,,26014,0,CFIS_LSB.231.247.r,33.5,138.5081709552038,666.0,3.0,682.9804541728236,0.0877709552038084,0.1749992370605468,3854,6419.1616,1606.5222,138.4205281,33.3248584,15.0742,4.0E-4,15.0742,4.0E-4,16.6304,4.0E-4,0.001926867,1.071116E-6,9.10445E-4,5.217678E-7,-62.33,-62.02,21415,19.5568,29.407,2,0.6390109744897949
3997554,SDSSJ091312.36+332639.8,138.3015,33.4444,191.2803,42.9953,59.8874,-30.8231,10.0,17.68,14.76,8.16,1814,1781,,,3997554,0,CFIS_LSB.231.247.r,33.5,138.5081709552038,666.0,3.0,652.1010070930885,0.2066709552038048,0.0555992126464843,12493,8340.2373,3922.5405,138.3016047,33.4442293,16.6929,0.0013,16.6929,0.0013,17.9032,9.0E-4,0.0014276,2.805569E-6,7.788938E-4,1.464017E-6,-20.11,-23.13,12023,20.5789,22.013,2,0.6903271321400615
31040,UGC05707,157.8093,43.1374,174.1992,57.5054,63.7969,-13.1336,5.9,14.78,11.2,9.99,2800,2824,,,31040,0,CFIS_LSB.231.266.r,43.0,157.92632175688777,497.0,2.0,582.5715589070813,0.1170217568877376,0.1374015808105468,28539,6652.0205,7666.8354,157.8094982,43.1375553,13.6543,4.0E-4,13.6543,4.0E-4,16.8568,5.0E-4,0.006794179,2.874552E-6,0.005905712,2.335101E-6,-50.69,-38.88,276619,19.5,122.299,50,0.7639790079993846
50551,PGC050551,212.4789,56.8226,103.1136,57.183,60.8066,23.3112,3.6,14.73,11.58,9.51,1790,1954,,,50551,0,CFIS_LSB.231.294.r,57.0,212.06706198870447,656.0,2.0,1031.0195912653076,0.4118380112954583,0.177398681640625,5042,633.3993,1578.6484,212.4788189,56.8227731,14.1166,3.0E-4,14.1166,3.0E-4,15.94,3.0E-4,0.002656565,1.071908E-6,0.001410721,5.891121E-7,-31.91,-31.7,53462,18.271,39.712,2,0.643315458355557
51932,NGC5678,218.0233,57.9214,100.0446,54.5048,59.0665,26.075,3.4,11.81,8.36,10.86,1898,2075,34.83,14.0,51932,0,CFIS_LSB.231.296.r,58.0,217.9577301593837,317.0,3.0,309.43739735965545,0.065569840616348,0.0786018371582031,12256,3918.7747,3397.2747,218.0627747,57.9172523,99.0,99.0,23.1714,0.0398,99.0,99.0,1.106062E-4,2.296049E-5,6.3419E-5,1.328867E-5,-0.13,-1.05,21,24.7888,-504.982,1,76.93869456908602
2573480,PGC2573480,217.9455,58.0086,100.1963,54.4655,58.9815,26.016,10.0,16.61,13.87,8.46,1496,1674,,,2573480,0,CFIS_LSB.231.296.r,58.0,217.9577301593837,317.0,3.0,38.7605620595789,0.0122301593836482,0.0085983276367187,19556,5127.3564,5161.5698,217.9453256,58.0083368,15.5603,0.0014,15.5603,0.0014,17.7098,9.0E-4,0.002965311,3.404476E-6,0.001585672,1.925039E-6,22.25,24.82,42424,20.7864,46.324,18,1.004208186236386
53486,UGC09638,224.5405,58.8718,97.1166,51.4305,57.0018,29.1096,9.9,15.08,12.69,9.27,2270,2462,,,53486,0,CFIS_LSB.231.298.r,59.0,224.25526505039608,,,702.6670639884296,0.2852349496039323,0.1282005310058593,8852,2140.5713,2519.5986,224.5406914,58.8716911,14.3168,7.0E-4,14.4581,6.0E-4,17.8356,0.0011,0.004847907,3.541454E-6,0.004203581,3.247141E-6,42.68,84.01,123245,20.6568,103.939,51,0.52969421474293
56322,UGC10090,238.5324,61.1017,93.9912,44.4057,51.0109,34.3823,8.8,,14.55,7.6,625,847,,,56322,0,CFIS_LSB.231.302.r,61.0,238.2378467269548,,,630.4625303961933,0.2945532730452385,0.1016998291015625,21154,2238.0505,6987.9961,238.5327742,61.102264,16.8733,0.0035,17.0895,0.0021,18.8275,0.0027,0.001641898,3.680093E-6,0.001231404,2.404525E-6,73.17,82.83,11089,21.7281,35.998,3,2.13221089342967
3531361,SDSSJ094029.36+365443.5,145.1223,36.9121,186.8759,48.8015,61.9578,-24.521,10.0,17.57,15.09,7.94,1630,1616,,,3531361,0,CFIS_LSB.232.254.r,37.0,145.24773634612217,,,479.9396955411134,0.1254363461221714,0.0878982543945312,10536,6940.5337,3294.2812,145.1224975,36.9119152,16.8524,0.002,16.8524,0.002,18.5031,0.0016,0.001549082,3.970845E-6,0.00130703,3.299448E-6,-1.54,-4.13,16756,21.1298,32.723,0,0.8750852342486719
30087,NGC3184,154.5708,41.4244,178.335,55.6379,63.6697,-16.0761,5.9,10.31,7.62,10.08,592,605,,,30087,0,CFIS_LSB.232.263.r,41.5,154.88232051662214,,,883.3925377395375,0.3115205166221528,0.0755996704101562,19922,9413.4092,3551.6494,154.5785941,41.4248624,13.5204,8.0E-4,13.5204,8.0E-4,99.0,99.0,0.02098702,9.748035E-7,0.01728733,7.918891E-7,-2.75,-14.81,3092535,16.1349,1024.898,120,21.104958683165943
30897,PGC030897,157.3522,42.6836,175.189,57.3213,63.9626,-13.674,4.8,17.26,14.93,8.63,3281,3302,,,30897,0,CFIS_LSB.232.265.r,42.5,157.3356377694738,,,662.4208919099736,0.0165622305262047,0.1836013793945312,31818,4762.8818,8554.3457,157.3522826,42.6834108,16.9837,0.0014,16.9837,0.0014,18.1222,0.0011,0.001322081,2.914739E-6,7.369837E-4,1.572313E-6,-60.88,-62.11,9617,20.8538,21.375,2,0.7153370015348026
32536,UGC05953,162.8253,44.5719,169.01,60.3292,64.7156,-9.3491,-1.0,13.3,10.1,10.54,3191,3227,,,32536,0,CFIS_LSB.232.269.r,44.5,162.63571952539291,,,551.0583536312398,0.1895804746070837,0.0718994140625,24079,2385.2292,6394.3745,162.8251264,44.5717964,12.9325,1.0E-4,12.9325,1.0E-4,13.9128,1.0E-4,0.002218094,5.756297E-7,0.001269212,3.708487E-7,-89.95,-81.33,102258,16.8537,20.117,2,0.5807798097609944
45594,PGC045594,197.2863,53.9435,117.1913,62.987,63.8486,14.7021,4.0,14.83,12.13,9.53,2504,2630,,,45594,0,CFIS_LSB.232.288.r,54.0,197.3509875376733,516.0,3.0,245.2193166936612,0.0646875376732509,0.0564994812011718,11684,5738.7749,3905.7781,197.2862175,53.9435182,14.3989,2.0E-4,14.3989,2.0E-4,15.5567,2.0E-4,0.001480402,7.509111E-7,0.001025302,5.509772E-7,-30.42,-31.8,33125,18.4027,21.542,0,0.1866844130525464
