# PGC,Common,RAdeg,DEdeg,GLON,GLAT,SGL,SGB,T,Bmag,Ksmag,logK,Vh,VLS,D,e_D,PGC1,Primary,tile,dec,ra,GroupID,GroupSize,Separation,ra_diff,dec_diff,NUMBER,X_IMAGE,Y_IMAGE,ALPHA_J2000,DELTA_J2000,MAG_AUTO,MAGERR_AUTO,MAG_BEST,MAGERR_BEST,MAG_APER,MAGERR_APER,A_WORLD,ERRA_WORLD,B_WORLD,ERRB_WORLD,THETA_J2000,ERRTHETA_J2000,ISOAREA_IMAGE,MU_MAX,FLUX_RADIUS,FLAGS,separation_arcsec
39846,NGC4286,185.1753,29.3458,193.0012,82.8781,85.9865,0.4307,1.0,14.12,11.29,8.83,636,622,,,40692,-846,CFIS_LSB.322.239.r,29.5,184.98184219514485,700.0,4.0,822.2786079158207,0.1934578048551429,0.1541996002197265,9164,1677.8835,1991.5557,185.1785043,29.3446134,17.7627,0.0396,13.8938,5.0E-4,99.0,99.0,0.005963394,3.750315E-6,0.00283231,1.924189E-6,-11.11,-14.61,103957,19.6933,-6068.771,51,10.925044481683408
40097,NGC4314,185.6333,29.8954,187.6883,83.0754,85.5842,0.9773,1.0,11.28,7.63,10.3,963,953,,,40692,-595,CFIS_LSB.322.240.r,30.0,185.90678667905948,,,932.5084831901472,0.2734866790594878,0.1046009063720703,11828,9591.3838,2979.2815,185.6334971,29.8954447,12.8714,4.0E-4,12.8714,4.0E-4,99.0,99.0,0.01197831,7.371019E-7,0.009556673,6.231524E-7,-25.56,5.11,1545686,16.5044,500.196,58,0.635843369115186
2832120,PGC2832120,190.8527,32.4823,140.4573,84.3704,84.3477,5.9868,,17.53,13.2,7.9,735,749,,,42637,2789483,CFIS_LSB.322.245.r,32.5,190.89593663689988,706.0,3.0,145.9348114271446,0.0432366368998771,0.0177001953125,19986,5694.9824,4651.916,190.8534231,32.4820309,16.2182,0.0032,16.2182,0.0032,19.6065,0.0048,0.00315522,6.155375E-6,0.001837082,3.564842E-6,-58.85,-58.53,33919,22.7899,70.073,18,2.4001150819713013
5056992,[KKH2007]J1243+3232,190.9386,32.5337,139.5944,84.3439,84.3162,6.07,,,14.8,7.26,0,0,,,42637,5014355,CFIS_LSB.322.245.r,32.5,190.89593663689988,706.0,3.0,177.45619156917758,0.0426633631001323,0.0336990356445312,25907,4316.936,5655.9771,190.9377452,32.533843,20.3686,0.04,20.7339,0.0196,21.2024,0.0186,6.561003E-4,1.16231E-5,3.594465E-4,5.921656E-6,-14.89,-17.62,730,23.263,15.064,3,2.644959176032933
45848,IC4213,198.0465,35.6701,96.8515,80.3831,82.5258,12.4984,5.8,12.62,11.44,9.05,815,860,19.5,14.0,45749,99,CFIS_LSB.322.251.r,35.5,197.7606326987297,162.0,2.0,1037.0393622226086,0.2858673012702866,0.1701011657714843,26359,498.8565,8311.1338,198.0465415,35.6705238,14.3987,6.0E-4,13.424,3.0E-4,99.0,99.0,0.009979178,3.271061E-6,0.001504844,5.608984E-7,-5.46,-5.38,124960,19.9861,213.484,51,1.5304999983920702
45755,UGC08261,197.7542,35.5022,97.6376,80.6437,82.65,12.2339,9.9,15.83,13.6,8.19,854,897,,,45749,6,CFIS_LSB.322.251.r,35.5,197.7606326987297,162.0,2.0,20.450329608099604,0.0064326987297249,0.0022010803222656,15506,5112.7686,5032.52,197.7534848,35.5016779,15.4679,0.0018,15.4679,0.0018,18.7602,0.0027,0.002997419,3.73066E-6,0.001980196,2.308477E-6,-84.06,-86.13,37106,21.0946,63.73,18,2.815359775270567
52409,NGC5731,220.0385,42.7795,75.3881,62.9734,75.762,29.7865,3.6,13.19,11.55,9.79,2514,2643,,,52396,13,CFIS_LSB.322.266.r,43.0,220.1397212368738,471.0,2.0,837.4974988189219,0.1012212368738119,0.2205009460449218,1283,6435.5566,723.7327,220.0387948,42.7792914,13.6389,2.0E-4,13.6389,2.0E-4,15.9601,4.0E-4,0.004732832,1.425996E-6,0.001229513,3.842382E-7,-67.06,-68.8,78205,18.6082,52.395,18,1.0819922728921167
40195,UGC07457,185.7906,29.3497,191.6503,83.3896,86.1458,0.9429,6.0,15.0,12.81,8.22,659,647,,,40692,-497,CFIS_LSB.323.239.r,29.5,185.55631996593723,,,912.3671327052898,0.2342800340627775,0.150299072265625,4806,1043.7521,2093.2192,185.790533,29.3497991,14.4246,8.0E-4,14.4246,8.0E-4,16.9186,9.0E-4,0.004154833,3.093086E-6,0.00178695,1.355104E-6,-44.55,-44.1,67807,19.3263,64.221,16,0.4140999648360436
91228,PGC091228,191.7526,32.6516,132.5163,84.3941,84.375,6.7634,7.9,15.56,14.1,7.54,519,536,,,42637,48591,CFIS_LSB.323.245.r,32.5,191.48878116061687,,,968.7031984761888,0.2638188393830489,0.1515998840332031,32704,689.204,7944.6777,191.7529789,32.6516752,16.394,0.0019,16.6049,0.0017,18.5988,0.0026,0.002926342,4.579174E-6,6.596511E-4,1.095488E-6,70.47,70.81,12682,21.5324,48.392,19,1.1799518523353711
4546531,SDSSJ131432.94+352305.3,198.6373,35.3848,93.5038,80.3839,82.9023,12.92,,17.0,14.07,8.69,2357,2402,,,46041,4500490,CFIS_LSB.323.251.r,35.5,198.37479615431585,575.0,3.0,874.494501452056,0.262503845684165,0.1152000427246093,9052,856.4454,2771.8345,198.6370563,35.3847382,16.3593,0.0029,16.8495,0.0021,18.914,0.0025,0.005466959,1.690209E-5,0.001433395,3.918755E-6,56.2,57.11,19844,20.1136,74.811,19,0.7490650816750531
