# PGC,Common,RAdeg,DEdeg,GLON_1,GLAT_1,SGL_1,SGB_1,T,Bmag,Ksmag_1,logK_1,Vh_1,VLS_1,D_1,e_D_1,eabs_D_1,Deff,eDeff,LMS,Mhcorbest,Rvirbest,thetavbest,tile,dec,ra,Separation
26304,UGC04922                     1,139.6525,47.8722,171.3351,44.0859,51.0003,-18.8007,8.9,13.07,11.23,9.69,1992,2039,34.83,14.0,4.8762,34.83,4.8762,9.907906949,11.51035421,171.6819928,0.282419234,CFIS_LSB.187.276.r,48.0,139.7335574123409,499.8931452587715
26571,NGC2852                      1,140.8107,40.1639,182.0971,45.4284,56.8159,-24.3594,0.9,14.03,10.22,9.95,1773,1777,-99.9,-99.9,99.8001,25.38571429,7.615714286,10.03717878,11.58189845,181.3730787,0.409360973,CFIS_LSB.216.260.r,40.0,140.9839872478861,758.9239498595163
26648,NGC2856                      1,141.0666,49.2491,169.2353,44.8102,50.9113,-17.1381,4.4,13.37,9.76,10.54,2638,2692,-99.9,-99.9,99.8001,38.45714286,11.53714286,10.58195403,12.10504682,270.9914664,0.403739833,CFIS_LSB.185.278.r,49.0,140.99341052028782,913.1854413361918
26649,NGC2859                      1,141.0772,34.5134,190.1556,45.4016,61.1007,-28.5146,-1.2,11.75,8.1,10.78,1687,1660,-99.9,-99.9,99.8001,23.71428571,7.114285714,10.8260201,12.5722519,387.873976,0.937138097,CFIS_LSB.233.249.r,34.5,141.3618467759099,845.814326813194
26857,PGC026857                    1,141.9785,44.5061,175.817,46.063,54.5485,-20.4597,4.4,14.57,11.52,9.81,2641,2669,-99.9,-99.9,99.8001,38.12857143,11.43857143,9.870501068,11.49102858,169.1542329,0.254188171,CFIS_LSB.203.269.r,44.5,142.3062545847188,841.8178381026679
26903,UGC05049                     1,142.2308,49.2385,169.0594,45.56,51.5426,-16.6768,5.9,13.97,10.94,10.08,2731,2785,-99.9,-99.9,99.8001,39.78571429,11.93571429,10.13945432,11.64615031,190.5417342,0.274401167,CFIS_LSB.185.279.r,49.5,142.4286364980689,1049.4435532886637
26979,NGC2893                      1,142.5705,29.5401,197.4543,46.0155,66.0956,-31.2698,0.3,13.69,10.37,9.85,1699,1644,-99.9,-99.9,99.8001,23.48571429,7.045714286,9.909607546,11.51124491,171.7994009,0.419122399,CFIS_LSB.248.239.r,29.5,142.47048715650908,344.9647686215846
27026,UGC05050                     1,142.7956,76.4651,135.6245,35.2419,34.9611,5.0627,3.1,14.27,11.66,9.68,2288,2480,-99.9,-99.9,99.8001,35.42857143,10.62857143,9.750707282,11.43187207,161.6456541,0.261416738,CFIS_LSB.067.333.r,76.5,143.50252858599467,607.9758310006131
27792,UGC05187                     1,145.7762,41.0929,180.4797,49.1511,59.201,-21.1617,8.0,14.17,10.53,9.67,1466,1475,-99.9,-99.9,99.8001,21.07142857,6.321428571,9.751387961,11.43219892,161.6862101,0.43964486,CFIS_LSB.220.262.r,41.0,145.75142926836924,341.1326899207819
28316,NGC2985                      1,147.5925,72.2789,139.0132,38.6827,38.6345,2.6683,2.4,10.96,7.55,10.83,1322,1495,-99.9,-99.9,99.8001,21.35714286,6.407142857,10.95508631,12.84135495,476.8608379,1.279297361,CFIS_LSB.089.325.r,72.5,147.98517379232527,903.58126651419
28357,NGC3021                      1,147.7381,33.5534,192.1782,50.8387,66.2587,-25.3149,4.0,12.1,9.23,10.22,1541,1509,28.44,6.0,1.7064,28.44,1.7064,10.53185918,12.03063526,255.9480127,0.515638301,CFIS_LSB.246.247.r,33.5,147.50220803021705,733.5621323923385
28424,NGC3032                      1,148.0342,29.2365,199.011,50.672,70.0697,-27.9797,-1.9,12.97,9.78,9.99,1533,1477,21.98,13.0,2.8574,21.98,2.8574,10.08805538,11.61280058,185.7263552,0.484137638,CFIS_LSB.259.238.r,29.0,148.06435178959495,856.6638688836211
28670,NGC3061                      1,149.0502,75.8665,135.1188,36.799,36.4929,5.5781,5.3,13.11,11.12,9.96,2457,2646,-99.9,-99.9,99.8001,37.8,11.34,10.0229836,11.57359695,180.2211088,0.273172424,CFIS_LSB.072.332.r,76.0,148.80835779979486,525.119696252974
28672,NGC3043                      1,149.0619,59.3072,153.5338,46.0549,47.87,-6.4742,3.0,12.72,10.59,10.31,2995,3103,33.42,25.0,8.355,33.42,8.355,10.12801289,11.63851888,189.4289287,0.324760242,CFIS_LSB.151.299.r,59.5,148.75722804395286,890.7293585040946
28805,NGC3067                      1,149.588,32.3699,194.2226,52.3206,68.3725,-24.9318,2.1,12.08,8.98,10.27,1451,1412,-99.9,-99.9,99.8001,20.17142857,6.051428571,10.33347331,11.80014704,214.448175,0.609128188,CFIS_LSB.252.245.r,32.5,149.39681997670425,746.1805670671583
29046,NGC3065                      1,150.4804,72.1703,138.4335,39.4485,39.3521,3.1929,-2.0,11.52,9.09,10.61,2000,2172,-99.9,-99.9,99.8001,31.02857143,9.308571429,10.66352356,12.2424966,301.142609,0.556075072,CFIS_LSB.093.324.r,72.0,150.4771609537402,613.1025328676164
29264,UGC05415                     1,151.3155,72.2005,138.1926,39.6264,39.5118,3.3949,1.0,13.71,10.81,9.81,1751,1924,-99.9,-99.9,99.8001,27.48571429,8.245714286,9.870214055,11.49088216,169.1352232,0.352573797,CFIS_LSB.091.325.r,72.5,151.31068331574832,1078.2110593206414
29745,IC0598                       1,153.2023,43.1455,175.8062,54.2672,61.6209,-15.7523,0.0,13.46,10.23,10.18,2245,2267,-99.9,-99.9,99.8001,32.38571429,9.715714286,10.24470696,11.72314141,202.1407225,0.357621263,CFIS_LSB.224.266.r,43.0,153.14067564304264,548.2969198560743
30019,NGC3147                      1,154.2237,73.4007,136.29,39.4633,39.2257,4.8432,3.9,11.03,7.49,11.53,2802,2981,39.26,8.0,3.1408,39.26,3.1408,11.50790059,13.99397273,1155.041493,1.685661197,CFIS_LSB.088.327.r,73.5,154.92120697164682,799.6020836401385
30206,UGC05577                     1,155.0151,38.6155,183.1731,56.4822,66.1862,-17.5605,6.0,14.21,11.24,9.68,2034,2032,-99.9,-99.9,99.8001,29.02857143,8.708571429,9.745651327,11.42944706,161.3450684,0.318458636,CFIS_LSB.243.257.r,38.5,155.25010688447597,781.3925253981927
30858,UGC05673                     1,157.2337,58.973,150.6427,49.7848,50.9738,-3.6277,5.5,14.87,11.29,9.89,2540,2649,-99.9,-99.9,99.8001,37.84285714,11.35285714,9.955967837,11.53598502,175.0928246,0.265098597,CFIS_LSB.162.298.r,59.0,157.2699261392388,118.16618690724394
30983,UGC05688                     1,157.6035,70.0504,138.445,42.5773,42.4728,3.4827,8.8,13.25,11.27,9.69,1919,2083,-99.9,-99.9,99.8001,29.75714286,8.927142857,9.75518246,11.43402256,161.9126801,0.311754428,CFIS_LSB.108.320.r,70.0,157.88543760880668,391.326317937254
31198,NGC3266                      1,158.3234,64.7494,143.4934,46.4821,46.7905,0.3909,-1.9,13.39,9.89,10.17,1765,1903,-99.9,-99.9,99.8001,27.18571429,8.155714286,10.2286815,11.71053035,200.1935706,0.4219222,CFIS_LSB.134.310.r,65.0,158.5355060712174,958.6573975924556
31708,NGC3320                      1,159.9021,47.3979,165.8441,57.2593,61.1895,-9.4212,5.8,12.08,10.25,10.21,2331,2380,35.16,14.0,4.9224,35.16,4.9224,10.30809773,11.77679267,210.6384087,0.343250911,CFIS_LSB.216.275.r,47.5,159.8602211556042,381.4391915850009
32134,UGC05870                     1,161.4976,34.965,188.8139,62.1412,72.4144,-15.4192,-1.7,14.15,10.9,9.81,2032,2014,-99.9,-99.9,99.8001,28.77142857,8.631428571,9.873922852,11.49277637,169.3813019,0.337308309,CFIS_LSB.265.250.r,35.0,161.75263301089294,762.7189038132169
32302,NGC3381                      1,162.1034,34.7114,189.2145,62.6675,72.9112,-15.1332,3.2,12.75,10.84,9.64,1627,1608,-99.9,-99.9,99.8001,22.97142857,6.891428571,9.702376009,11.40887334,158.8172931,0.396125485,CFIS_LSB.267.249.r,34.5,161.9897557475019,832.2072463342706
32356,PGC032356                    1,162.2712,52.3355,156.7209,56.0064,58.0077,-5.3285,6.7,14.41,11.61,9.71,2400,2477,-99.9,-99.9,99.8001,35.38571429,10.61571429,9.769655933,11.4410045,162.7826724,0.263574388,CFIS_LSB.198.285.r,52.5,162.62528353875356,977.2995997471256
32774,NGC3448                      1,163.6643,54.3051,153.0541,55.4502,56.8352,-3.5382,1.8,11.8,9.66,10.0,1350,1438,-99.9,-99.9,99.8001,20.54285714,6.162857143,10.07732169,11.60612035,184.7765236,0.515357909,CFIS_LSB.190.289.r,54.5,163.59482772684342,716.5854294354638
34232,NGC3583                      1,168.5454,48.3184,158.1165,61.6294,63.5467,-4.0393,3.1,12.01,8.53,10.83,2105,2166,-99.9,-99.9,99.8001,30.94285714,9.282857143,10.88512082,12.69547692,426.3493924,0.789456555,CFIS_LSB.223.277.r,48.5,168.27139519886296,925.2801662424808
34260,UGC06271                     1,168.655,30.3142,198.6375,68.5774,79.6408,-12.4654,1.0,14.34,11.23,9.66,2003,1968,33.88,25.0,8.47,33.88,8.47,9.883886803,11.49788799,170.0471432,0.287573549,CFIS_LSB.291.241.r,30.5,168.86615110083,936.5876325582057
34325,NGC3595                      1,168.8565,47.4471,159.2749,62.3412,64.412,-4.2797,-1.9,12.74,9.52,10.46,2199,2255,-99.9,-99.9,99.8001,32.21428571,9.664285714,10.52409701,12.01975334,253.8191906,0.451438868,CFIS_LSB.228.275.r,47.5,168.74134455313776,338.79899891673927
34508,UGC06309                     1,169.4436,51.4766,152.5338,59.929,61.0581,-2.0063,4.5,13.5,10.86,10.14,2850,2928,39.99,18.0,7.1982,39.99,7.1982,10.17590281,11.6713465,194.2624411,0.278330267,CFIS_LSB.211.283.r,51.5,169.47392686192217,108.24728506755012
34908,NGC3648                      1,170.6311,39.8769,172.5774,67.6066,71.7352,-6.6916,-2.1,13.56,9.54,10.33,1948,1966,-99.9,-99.9,99.8001,28.08571429,8.425714286,10.39697095,11.86402258,225.2237588,0.459464253,CFIS_LSB.261.260.r,40.0,170.35565125786238,880.0315092500747
35064,NGC3665                      1,171.1818,38.7628,174.7123,68.4934,72.9302,-6.8118,-2.2,11.67,7.75,11.09,2049,2062,-99.9,-99.9,99.8001,29.45714286,8.837142857,11.15438124,13.25688489,655.9966755,1.275951059,CFIS_LSB.266.258.r,39.0,171.13902226379125,862.2998820880657
35285,NGC3687                      1,172.0025,29.511,200.6285,71.5106,81.6633,-10.2004,3.8,12.81,9.91,10.39,2507,2472,-99.9,-99.9,99.8001,35.31428571,10.59428571,10.44790085,11.92157777,235.3961011,0.381919504,CFIS_LSB.299.239.r,29.5,171.7688534669202,733.1104842241307
35352,NGC3694                      1,172.2255,35.4139,182.6138,70.5673,76.3325,-7.5278,-4.8,13.44,10.51,10.08,2257,2253,-99.9,-99.9,99.8001,32.18571429,9.655714286,10.1273263,11.6380649,189.3629351,0.337096951,CFIS_LSB.280.251.r,35.5,171.9657675641128,822.2937233328032
35608,NGC3752                      1,173.1342,74.6276,129.7859,41.4339,41.0361,9.8573,2.0,13.06,10.65,9.95,1913,2103,28.97,14.0,4.0558,28.97,4.0558,9.97989699,11.54913885,176.8695045,0.349806168,CFIS_LSB.093.329.r,74.5,174.00195541669936,949.920945094608
35707,UGC06545                     1,173.4309,32.6361,190.1149,72.3084,79.2993,-7.7897,3.5,13.58,10.65,10.13,2619,2602,-99.9,-99.9,99.8001,37.17142857,11.15142857,10.1964185,11.6861726,196.4856674,0.302861887,CFIS_LSB.293.245.r,32.5,173.70344544910455,961.1400134881231
35754,PGC035754                    1,173.6147,33.1789,188.2578,72.3269,78.8643,-7.4256,-3.5,14.66,11.16,9.89,2524,2510,-99.9,-99.9,99.8001,35.85714286,10.75714286,9.961151363,11.53881057,175.472958,0.280386768,CFIS_LSB.291.246.r,33.0,173.48885910763036,747.5673413110964
35913,NGC3755                      1,174.139,36.4103,177.9547,71.6251,76.0784,-5.7027,5.2,13.0,11.04,9.55,1578,1582,32.06,14.0,4.4884,32.06,4.4884,9.911927036,11.51246156,171.9599039,0.307317064,CFIS_LSB.280.253.r,36.5,174.16035970944532,328.7852327801241
36266,NGC3813                      1,175.3277,36.5467,176.1901,72.4223,76.3429,-4.7739,3.3,11.82,8.95,10.3,1465,1472,21.48,14.0,3.0072,21.48,3.0072,10.40006855,11.86735384,225.8003559,0.602300667,CFIS_LSB.282.253.r,36.5,175.4043622787985,278.3024967057857
36386,NGC3901                      1,175.705,77.3729,127.6987,39.1133,38.6952,11.4786,6.0,13.76,11.58,9.48,1686,1888,31.77,25.0,7.9425,31.77,7.9425,9.68803443,11.4021207,157.9962968,0.284939523,CFIS_LSB.076.335.r,77.5,175.56859998312132,469.854646467705
37308,IC2973                       1,178.4623,33.3653,182.7857,76.1052,80.2758,-3.6197,6.7,13.95,11.73,9.88,3203,3198,34.51,18.0,6.2118,34.51,6.2118,9.699889919,11.40770061,158.6744047,0.263441941,CFIS_LSB.298.247.r,33.5,178.6815365569296,817.9113460325304
37691,NGC4013                      1,179.6307,43.9468,151.8655,70.089,70.7447,1.0758,3.1,11.5,7.7,10.42,835,886,20.61,14.0,2.8854,20.61,2.8854,10.86415598,12.65176523,412.2826738,1.146146391,CFIS_LSB.258.268.r,44.0,179.33110324115154,799.4688484304428
38347,UGC07086                     1,181.4837,77.5051,126.0951,39.3424,38.9671,12.7134,3.1,14.01,10.36,10.11,2008,2213,29.92,14.0,4.1888,29.92,4.1888,10.12392318,11.63582123,189.0371166,0.361999936,CFIS_LSB.079.335.r,77.5,182.49893945613928,791.1011359169921
38423,NGC4108                      1,181.6847,67.1628,129.5672,49.3857,49.1088,9.8695,5.2,12.82,9.94,10.46,2513,2677,-99.9,-99.9,99.8001,38.24285714,11.47285714,10.50510066,11.99383025,248.8189346,0.372782996,CFIS_LSB.142.314.r,67.0,181.71063123256903,587.2194950542624
38504,PGC038504                    1,181.9485,67.3838,129.3278,49.199,48.9246,10.0316,-2.0,14.61,10.83,10.01,2325,2490,-99.9,-99.9,99.8001,35.57142857,10.67142857,10.08620261,11.61164096,185.5611238,0.298888143,CFIS_LSB.139.315.r,67.5,181.6122521178163,625.0107757970889
38524,NGC4125                      1,182.025,65.1741,130.1897,51.3392,51.0773,9.414,-4.8,10.53,6.98,11.12,1356,1512,23.99,13.0,3.1187,23.99,3.1187,11.2840605,13.52726613,807.2884147,1.928064113,CFIS_LSB.154.310.r,65.0,182.1975219027424,679.180987771818
