Unnamed: 0_1,tile_1,total_count_1,N_cut_1,good_count_1,good_fraction_1,N_cut_masked_1,normalized_N_1,ra_1,dec_1,Unnamed: 0_2,tile_2,total_count_2,N_cut_2,good_count_2,good_fraction_2,N_cut_masked_2,normalized_N_2,ra_2,dec_2,Unnamed: 0,tile,total_count,N_cut,good_count,good_fraction,N_cut_masked,normalized_N,ra,dec
24,CFIS_LSB.600.243.r,38769,11044,32199,0.8305347055637236,9291,11186.769123264698,351.8483089842028,31.5,24,CFIS_LSB.600.243.r,38769,73,32199,0.8305347055637236,26,31.305133699804344,351.8483089842028,31.5,24,CFIS_LSB.600.243.r,38769,3843,32199,0.8305347055637236,3161,3805.981831733905,351.8483089842028,31.5
25,CFIS_LSB.241.309.r,39343,9528,30680,0.7798083521846326,7361,9439.498794002608,279.89986992985257,64.5,25,CFIS_LSB.241.309.r,39343,39,30680,0.7798083521846326,23,29.494426336375486,279.89986992985257,64.5,25,CFIS_LSB.241.309.r,39343,3201,30680,0.7798083521846326,2471,3168.7272816166883,279.89986992985257,64.5
26,CFIS_LSB.611.244.r,39475,11508,3856,0.0976820772640912,1227,12561.157935684649,360.23900222712047,32.0,26,CFIS_LSB.611.244.r,39475,114,3856,0.0976820772640912,12,122.84751037344398,360.23900222712047,32.0,26,CFIS_LSB.611.244.r,39475,3774,3856,0.0976820772640912,416,4258.713692946058,360.23900222712047,32.0
27,CFIS_LSB.017.245.r,39541,9744,32397,0.8193267747401431,8001,9765.33447541439,10.078356903190366,32.5,27,CFIS_LSB.017.245.r,39541,36,32397,0.8193267747401431,19,23.189770657776958,10.078356903190366,32.5,27,CFIS_LSB.017.245.r,39541,2884,32397,0.8193267747401431,2352,2870.649504583758,10.078356903190366,32.5
28,CFIS_LSB.041.252.r,35689,12925,30333,0.8499257474291798,10984,12923.481884416313,25.33939353874569,36.0,28,CFIS_LSB.041.252.r,35689,49,30333,0.8499257474291798,29,34.120627699205485,25.33939353874569,36.0,28,CFIS_LSB.041.252.r,35689,4521,30333,0.8499257474291798,3769,4434.505027527775,25.33939353874569,36.0
29,CFIS_LSB.379.257.r,39367,13592,30808,0.7825843980999314,10751,13737.815405089586,242.1390555934831,38.5,29,CFIS_LSB.379.257.r,39367,48,30808,0.7825843980999314,37,47.2792456504804,242.1390555934831,38.5,29,CFIS_LSB.379.257.r,39367,4358,30808,0.7825843980999314,3447,4404.636750194754,242.1390555934831,38.5
30,CFIS_LSB.165.288.r,9761,4767,455,0.0466140764265956,224,4805.415384615384,140.35738337808658,54.0,30,CFIS_LSB.165.288.r,9761,20,455,0.0466140764265956,2,42.9054945054945,140.35738337808658,54.0,30,CFIS_LSB.165.288.r,9761,2477,455,0.0466140764265956,101,2166.7274725274724,140.35738337808658,54.0
31,CFIS_LSB.031.228.r,171,72,0,0.0,0,,16.966862316843724,24.0,31,CFIS_LSB.031.228.r,171,1,0,0.0,0,,16.966862316843724,24.0,31,CFIS_LSB.031.228.r,171,40,0,0.0,0,,16.966862316843724,24.0
32,CFIS_LSB.054.219.r,12438,5226,0,0.0,0,,28.64291488879492,19.5,32,CFIS_LSB.054.219.r,12438,59,0,0.0,0,,28.64291488879492,19.5,32,CFIS_LSB.054.219.r,12438,2674,0,0.0,0,,28.64291488879492,19.5
33,CFIS_LSB.233.295.r,31458,10474,26678,0.8480513700807426,8843,10427.434365394707,216.8250231159668,57.5,33,CFIS_LSB.233.295.r,31458,45,26678,0.8480513700807426,26,30.6585201289452,216.8250231159668,57.5,33,CFIS_LSB.233.295.r,31458,3436,26678,0.8480513700807426,2818,3322.911912437214,216.8250231159668,57.5
34,CFIS_LSB.035.253.r,25869,10335,16862,0.6518226448645097,6387,9798.677677618312,21.770044963680665,36.5,34,CFIS_LSB.035.253.r,25869,84,16862,0.6518226448645097,36,55.2297473609299,21.770044963680665,36.5,34,CFIS_LSB.035.253.r,25869,4407,16862,0.6518226448645097,2462,3777.101055628039,21.770044963680665,36.5
35,CFIS_LSB.374.274.r,39278,8847,28958,0.7372574978359387,6530,8857.149665032115,274.1942077146099,47.0,35,CFIS_LSB.374.274.r,39278,55,28958,0.7372574978359387,22,29.84032046412045,274.1942077146099,47.0,35,CFIS_LSB.374.274.r,39278,2883,28958,0.7372574978359387,2134,2894.5110850196834,274.1942077146099,47.0
36,CFIS_LSB.434.238.r,6341,1324,1036,0.1633811701624349,170,1040.511583011583,248.1078327285105,29.0,36,CFIS_LSB.434.238.r,6341,5,1036,0.1633811701624349,1,6.120656370656371,248.1078327285105,29.0,36,CFIS_LSB.434.238.r,6341,524,1036,0.1633811701624349,70,428.44594594594594,248.1078327285105,29.0
37,CFIS_LSB.070.330.r,25558,11658,22952,0.8980358400500822,10651,11860.328424538166,135.22961568046958,75.0,37,CFIS_LSB.070.330.r,25558,47,22952,0.8980358400500822,23,25.611449982572324,135.22961568046958,75.0,37,CFIS_LSB.070.330.r,25558,4497,22952,0.8980358400500822,4102,4567.746427326594,135.22961568046958,75.0
38,CFIS_LSB.434.239.r,39006,8102,14045,0.3600728093113879,3163,8784.334496262016,249.3233525238909,29.5,38,CFIS_LSB.434.239.r,39006,53,14045,0.3600728093113879,17,47.212673549305805,249.3233525238909,29.5,38,CFIS_LSB.434.239.r,39006,3060,14045,0.3600728093113879,1117,3102.150373798505,249.3233525238909,29.5
39,CFIS_LSB.649.232.r,37293,7139,0,0.0,0,,361.0393296841988,26.0,39,CFIS_LSB.649.232.r,37293,28,0,0.0,0,,361.0393296841988,26.0,39,CFIS_LSB.649.232.r,37293,2232,0,0.0,0,,361.0393296841988,26.0
40,CFIS_LSB.193.309.r,30777,13278,28436,0.9239367059817396,12278,13288.789070192714,224.1521779936164,64.5,40,CFIS_LSB.193.309.r,30777,42,28436,0.9239367059817396,27,29.222780981853987,224.1521779936164,64.5,40,CFIS_LSB.193.309.r,30777,4717,28436,0.9239367059817396,4369,4728.678892952596,224.1521779936164,64.5
41,CFIS_LSB.175.263.r,37593,10767,31984,0.8507966908733009,9179,10788.711449474737,116.82933659658998,41.5,41,CFIS_LSB.175.263.r,37593,41,31984,0.8507966908733009,22,25.85811655827914,116.82933659658998,41.5,41,CFIS_LSB.175.263.r,37593,3280,31984,0.8507966908733009,2806,3298.0852301150576,116.82933659658998,41.5
42,CFIS_LSB.058.245.r,32441,12535,29598,0.9123639838476004,11488,12591.465909858773,34.38498237559066,32.5,42,CFIS_LSB.058.245.r,32441,45,29598,0.9123639838476004,26,28.497398472869783,34.38498237559066,32.5,42,CFIS_LSB.058.245.r,32441,4189,29598,0.9123639838476004,3836,4204.462328535712,34.38498237559066,32.5
43,CFIS_LSB.289.282.r,34747,11382,30616,0.8811120384493626,10026,11378.802652207994,229.6127728500008,51.0,43,CFIS_LSB.289.282.r,34747,36,30616,0.8811120384493626,25,28.37323621635746,229.6127728500008,51.0,43,CFIS_LSB.289.282.r,34747,3659,30616,0.8811120384493626,3203,3635.1790240397177,229.6127728500008,51.0
44,CFIS_LSB.153.328.r,28939,12384,27230,0.940944745844708,11778,12517.206830701432,277.5385788085625,74.0,44,CFIS_LSB.153.328.r,28939,68,27230,0.940944745844708,39,41.44770473742196,277.5385788085625,74.0,44,CFIS_LSB.153.328.r,28939,4511,27230,0.940944745844708,4261,4528.427432978332,277.5385788085625,74.0
45,CFIS_LSB.030.246.r,36833,12069,31260,0.8486954633073602,10474,12341.2937300064,17.88544939253921,33.0,45,CFIS_LSB.030.246.r,36833,99,31260,0.8486954633073602,67,78.94468969929623,17.88544939253921,33.0,45,CFIS_LSB.030.246.r,36833,4284,31260,0.8486954633073602,3701,4360.810396673065,17.88544939253921,33.0
46,CFIS_LSB.181.280.r,23565,11362,17703,0.7512412476129854,8504,11319.932214878834,140.7930063308673,50.0,46,CFIS_LSB.181.280.r,23565,49,17703,0.7512412476129854,26,34.60938823928148,140.7930063308673,50.0,46,CFIS_LSB.181.280.r,23565,4575,17703,0.7512412476129854,3219,4284.908490086425,140.7930063308673,50.0
